simplified,traditional,pinyin,meaning,hsk_level,part_of_speech,example_zh,example_pinyin,example_vi
你好,你好,nǐ hǎo,xin chào,1,,,,
谢谢,謝謝,xièxiè,cảm ơn,1,,,,
时间,時間,shíjiān,thời gian,1,,,,
我,,wǒ,tôi,1,,,,
你,,nǐ,bạn,1,,,,
他,,tā,anh ấy,1,,,,
是,,shì,là,1,,,,
不,,bù,không,1,,,,
有,,yǒu,có,1,,,,
这,這,zhè,này,1,,,,
那,,nà,kia,1,,,,
什么,什麼,shénme,cái gì,1,,,,
谁,誰,shéi,ai,1,,,,
中国,中國,Zhōngguó,Trung Quốc,1,,,,
人,,rén,người,1,,,,
老师,老師,lǎoshī,giáo viên,1,danh từ,,,
学生,學生,xuésheng,học sinh,1,danh từ,,,
爸爸,,bàba,bố,1,danh từ,,,
妈妈,媽媽,māma,mẹ,1,danh từ,,,
喜欢,喜歡,xǐhuan,thích,1,động từ,,,
吃,,chī,ăn,1,động từ,,,
喝,,hē,uống,1,động từ,,,
米饭,米飯,mǐfàn,cơm,1,danh từ,,,
水,,shuǐ,nước,1,danh từ,,,
苹果,蘋果,píngguǒ,táo,1,danh từ,,,
今天,,jīntiān,hôm nay,1,,,,
明天,,míngtiān,ngày mai,1,,,,
高兴,高興,gāoxìng,vui,1,tính từ,,,
好,,hǎo,tốt,1,tính từ,,,
大,,dà,to,1,tính từ,,,
小,,xiǎo,nhỏ,1,tính từ,,,
多,,duō,nhiều,1,tính từ,,,
家,,jiā,nhà,1,danh từ,,,
书,書,shū,sách,1,danh từ,,,
猫,貓,māo,mèo,1,danh từ,,,
狗,,gǒu,chó,1,danh từ,,,
看,,kàn,xem,1,động từ,,,
说,說,shuō,nói,1,động từ,,,
去,,qù,đi,1,động từ,,,
朋友,朋友,péngyou,bạn,2,danh từ,,,
学习,學習,xuéxí,học tập,2,động từ,,,
昨天,,zuótiān,hôm qua,2,,,,
现在,現在,xiànzài,bây giờ,2,,,,
天气,天氣,tiānqì,thời tiết,2,danh từ,,,
漂亮,,piàoliang,đẹp,2,tính từ,,,
工作,,gōngzuò,công việc,2,danh từ,,,
身体,身體,shēntǐ,cơ thể,2,danh từ,,,
问题,問題,wèntí,vấn đề,2,danh từ,,,
准备,準備,zhǔnbèi,chuẩn bị,2,động từ,,,
考试,考試,kǎoshì,thi cử,2,danh từ,,,
旅游,,lǚyóu,du lịch,2,động từ,,,
电脑,電腦,diànnǎo,máy tính,2,danh từ,,,
手机,手機,shǒujī,điện thoại,2,danh từ,,,
音乐,音樂,yīnyuè,âm nhạc,2,danh từ,,,
电影,電影,diànyǐng,phim,2,danh từ,,,
运动,運動,yùndòng,vận động,2,danh từ,,,
经验,經驗,jīngyàn,kinh nghiệm,3,danh từ,他有很多学习经验。,Tā yǒu hěn duō xuéxí jīngyàn.,Anh ấy có nhiều kinh nghiệm học tập.
经济,經濟,jīngjì,kinh tế,3,danh từ,,,
提高,,tígāo,nâng cao,3,động từ,,,
关系,關係,guānxì,quan hệ,3,danh từ,,,
环境,環境,huánjìng,môi trường,3,danh từ,,,
历史,歷史,lìshǐ,lịch sử,3,danh từ,,,
文化,,wénhuà,văn hóa,3,danh từ,,,
比较,比較,bǐjiào,so sánh,3,phó từ,,,
机会,機會,jīhuì,cơ hội,3,danh từ,,,
决定,決定,juédìng,quyết định,3,động từ,,,
社会,社會,shèhuì,xã hội,3,danh từ,,,
